# lambba_val.val 0.0625
#time (ps)      gradients (kcal/mol*lam)
0.000            7.4553333981
200.000            3.0429360094
400.000            -1.4935899954
600.000            -0.0817268769
800.000            -1.2700370780
1000.000            0.1436376086
1200.000            2.8872304161
1400.000            -1.3209856693
1600.000            2.7353099655
1800.000            3.2491534316
2000.000            1.8835878666
2200.000            1.1358422395
2400.000            2.6579742619
2600.000            2.1176131522
2800.000            -2.4727878633
3000.000            -0.1858937687
3200.000            0.6137035395
3400.000            1.0454972485
3600.000            -4.3124131056
3800.000            0.0543351889
4000.000            3.8318327648
4200.000            1.5177367123
4400.000            -1.2058796905
4600.000            0.4276194296
4800.000            0.6486994285
5000.000            1.7688364900
5200.000            3.3324177476
5400.000            1.6748007974
5600.000            5.2069016173
5800.000            0.1136184691
6000.000            2.2857583674
6200.000            2.7950104599
6400.000            0.0567337474
6600.000            1.1283274173
6800.000            3.2988426095
7000.000            3.5727031266
7200.000            0.1596675242
7400.000            4.4760972174
7600.000            1.6921321653
7800.000            -0.4212688995
8000.000            1.6578052040
8200.000            1.7857807890
8400.000            -1.0812239093
8600.000            1.6726785928
8800.000            3.2031609802
9000.000            2.5520270139
9200.000            3.9620390675
9400.000            4.1771962257
9600.000            -0.3787423398
9800.000            1.8323458234
10000.000            -0.8676987642
10200.000            2.6527759942
10400.000            -1.6019791462
10600.000            2.9931633193
10800.000            0.3694762825
11000.000            5.2988994654
11200.000            3.6235072275
11400.000            3.4402765192
11600.000            -2.1575472724
11800.000            2.4123010805
12000.000            0.7592592973
12200.000            3.2464737299
12400.000            3.7930626857
12600.000            1.3768243520
12800.000            -1.3972472838
13000.000            5.1902810371
13200.000            -1.2663421958
13400.000            -0.8281537112
13600.000            -0.9884430818
13800.000            -0.5519173514
14000.000            1.7709635276
14200.000            1.0156866167
14400.000            5.4921137793
14600.000            1.9661983527
14800.000            -0.3825741160
15000.000            3.5192800887
15200.000            4.1666948421
15400.000            -1.5927971461
15600.000            2.0264966682
15800.000            1.1606355458
16000.000            3.9769975696
16200.000            6.4617640329
16400.000            -0.2938481153
16600.000            -3.4383091350
16800.000            4.7102834076
17000.000            2.5337271229
17200.000            -1.0823648709
17400.000            2.9668376951
17600.000            2.5559818495
17800.000            0.3108241457
18000.000            0.7623230378
18200.000            5.4511249729
18400.000            1.7861389728
18600.000            -1.1661182933
18800.000            -1.2840538724
19000.000            3.4140319285
19200.000            1.2947870716
19400.000            1.7822883748
19600.000            2.4587070190
19800.000            1.6702955985
20000.000            -0.5504633225
20200.000            1.4321964504
20400.000            -0.2978520655
20600.000            0.7012454847
20800.000            5.1621599096
21000.000            1.1156769068
21200.000            2.5213749269
